department_id,department_name,avg_salary
327,Operations,100453.34
328,Operations,100453.34
329,Operations,100453.34
330,Operations,100453.34
331,Operations,100453.34
332,Operations,100453.34
333,Operations,100453.34
334,Operations,100453.34
335,Operations,100453.34
336,Operations,100453.34
337,Operations,100453.34
338,Operations,100453.34
339,Operations,100453.34
340,Operations,100453.34
341,Operations,100453.34
342,Operations,100453.34
343,Operations,100453.34
344,Operations,100453.34
345,Operations,100453.34
346,Operations,100453.34
347,Operations,100453.34
348,Operations,100453.34
349,Operations,100453.34
350,Operations,100453.34
351,Operations,100453.34
352,Operations,100453.34
353,Operations,100453.34
354,Operations,100453.34
355,Operations,100453.34
356,Operations,100453.34
357,Operations,100453.34
358,Operations,100453.34
359,Operations,100453.34
360,Operations,100453.34
361,Operations,100453.34
362,Operations,100453.34
363,Operations,100453.34
364,Operations,100453.34
365,Operations,100453.34
366,Operations,100453.34
367,Operations,100453.34
368,Operations,100453.34
369,Operations,100453.34
370,Operations,100453.34
371,Operations,100453.34
372,Operations,100453.34
373,Operations,100453.34
374,Operations,100453.34
375,Operations,100453.34
376,Operations,100453.34
377,Operations,100453.34
378,Operations,100453.34
379,Operations,100453.34
380,Operations,100453.34
381,Operations,100453.34
382,Operations,100453.34
383,Operations,100453.34
384,Operations,100453.34
385,Operations,100453.34
386,Operations,100453.34
387,Operations,100453.34
388,Operations,100453.34
389,Operations,100453.34
390,Operations,100453.34
391,Operations,100453.34
392,Operations,100453.34
393,Operations,100453.34
394,Operations,100453.34
395,Operations,100453.34
396,Operations,100453.34
397,Operations,100453.34
398,Operations,100453.34
399,Operations,100453.34
400,Operations,100453.34
401,Operations,100453.34
402,Operations,100453.34
403,Operations,100453.34
404,Operations,100453.34
405,Operations,100453.34
406,Operations,100453.34
407,Operations,100453.34
408,Operations,100453.34
409,Operations,100453.34
410,Operations,100453.34
411,Operations,100453.34
412,Operations,100453.34
413,Operations,100453.34
414,Operations,100453.34
415,Operations,100453.34
416,Operations,100453.34
417,Operations,100453.34
418,Operations,100453.34
419,Operations,100453.34
420,Operations,100453.34
421,Operations,100453.34
422,Operations,100453.34
423,Operations,100453.34
424,Operations,100453.34
425,Operations,100453.34
426,Operations,100453.34
427,Operations,100453.34
428,Operations,100453.34
429,Operations,100453.34
430,Operations,100453.34
431,Operations,100453.34
432,Operations,100453.34
433,Operations,100453.34
434,Operations,100453.34
435,Operations,100453.34
436,Operations,100453.34
437,Operations,100453.34
438,Operations,100453.34
439,Operations,100453.34
440,Operations,100453.34
441,Operations,100453.34
442,Operations,100453.34
443,Operations,100453.34
444,Operations,100453.34
445,Operations,100453.34
446,Operations,100453.34
447,Operations,100453.34
448,Operations,100453.34
449,Operations,100453.34
450,Operations,100453.34
451,Operations,100453.34
452,Operations,100453.34
453,Operations,100453.34
454,Operations,100453.34
455,Operations,100453.34
456,Operations,100453.34
457,Operations,100453.34
458,Operations,100453.34
459,Operations,100453.34
460,Operations,100453.34
461,Operations,100453.34
462,Operations,100453.34
463,Operations,100453.34
464,Operations,100453.34
465,Operations,100453.34
466,Operations,100453.34
467,Operations,100453.34
468,Operations,100453.34
469,Operations,100453.34
470,Operations,100453.34
471,Operations,100453.34
472,Operations,100453.34
473,Operations,100453.34
474,Operations,100453.34
475,Operations,100453.34
476,Operations,100453.34
477,Operations,100453.34
478,Sales,123961.69
479,Sales,123961.69
480,Sales,123961.69
481,Sales,123961.69
482,Sales,123961.69
483,Sales,123961.69
484,Sales,123961.69
485,Sales,123961.69
486,Sales,123961.69
487,Sales,123961.69
488,Sales,123961.69
489,Sales,123961.69
490,Sales,123961.69
491,Sales,123961.69
492,Sales,123961.69
493,Sales,123961.69
494,Sales,123961.69
495,Sales,123961.69
496,Sales,123961.69
497,Sales,123961.69
498,Sales,123961.69
499,Sales,123961.69
500,Sales,123961.69
501,Sales,123961.69
502,Sales,123961.69
503,Sales,123961.69
504,Sales,123961.69
505,Sales,123961.69
506,Sales,123961.69
507,Sales,123961.69
508,Sales,123961.69
509,Sales,123961.69
510,Sales,123961.69
511,Sales,123961.69
512,Sales,123961.69
513,Sales,123961.69
514,Sales,123961.69
515,Sales,123961.69
516,Sales,123961.69
517,Sales,123961.69
518,Sales,123961.69
519,Sales,123961.69
520,Sales,123961.69
521,Sales,123961.69
522,Sales,123961.69
523,Sales,123961.69
524,Sales,123961.69
525,Sales,123961.69
526,Sales,123961.69
527,Sales,123961.69
528,Sales,123961.69
529,Sales,123961.69
530,Sales,123961.69
531,Sales,123961.69
532,Sales,123961.69
533,Sales,123961.69
534,Sales,123961.69
535,Sales,123961.69
536,Sales,123961.69
537,Sales,123961.69
538,Sales,123961.69
539,Sales,123961.69
540,Sales,123961.69
541,Sales,123961.69
542,Sales,123961.69
543,Sales,123961.69
544,Sales,123961.69
545,Sales,123961.69
546,Sales,123961.69
547,Sales,123961.69
548,Sales,123961.69
549,Sales,123961.69
550,Sales,123961.69
551,Sales,123961.69
552,Sales,123961.69
553,Sales,123961.69
554,Sales,123961.69
555,Sales,123961.69
556,Sales,123961.69
557,Sales,123961.69
558,Sales,123961.69
559,Sales,123961.69
560,Sales,123961.69
561,Sales,123961.69
562,Sales,123961.69
563,Sales,123961.69
564,Sales,123961.69
565,Sales,123961.69
566,Sales,123961.69
567,Sales,123961.69
568,Sales,123961.69
569,Sales,123961.69
570,Sales,123961.69
571,Sales,123961.69
572,Sales,123961.69
573,Sales,123961.69
574,Sales,123961.69
575,Sales,123961.69
576,Sales,123961.69
577,Sales,123961.69
578,Sales,123961.69
579,Sales,123961.69
580,Sales,123961.69
581,Support,95787.89
582,Support,95787.89
583,Support,95787.89
584,Support,95787.89
585,Support,95787.89
586,Support,95787.89
587,Support,95787.89
588,Support,95787.89
589,Support,95787.89
590,Support,95787.89
591,Support,95787.89
592,Support,95787.89
593,Support,95787.89
594,Support,95787.89
595,Support,95787.89
596,Support,95787.89
597,Support,95787.89
598,Support,95787.89
599,Support,95787.89
600,Support,95787.89
601,Support,95787.89
602,Support,95787.89
603,Support,95787.89
604,Support,95787.89
605,Support,95787.89
606,Support,95787.89
607,Support,95787.89
608,Support,95787.89
609,Support,95787.89
610,Support,95787.89
611,Support,95787.89
612,Support,95787.89
613,Support,95787.89
614,Support,95787.89
615,Support,95787.89
616,Support,95787.89
617,Support,95787.89
618,Support,95787.89
619,Support,95787.89
620,Support,95787.89
621,Support,95787.89
622,Support,95787.89
623,Support,95787.89
624,Support,95787.89
625,Support,95787.89
626,Support,95787.89
627,Support,95787.89
628,Support,95787.89
629,Support,95787.89
630,Support,95787.89
631,Support,95787.89
632,Support,95787.89
633,Support,95787.89
634,Support,95787.89
635,Support,95787.89
636,Support,95787.89
637,Support,95787.89
638,Support,95787.89
639,Support,95787.89
640,Support,95787.89
641,Support,95787.89
642,Support,95787.89
643,Support,95787.89
644,Support,95787.89
645,Support,95787.89
646,Support,95787.89
647,Support,95787.89
648,Support,95787.89
649,Support,95787.89
650,Support,95787.89
651,Support,95787.89
652,Support,95787.89
653,Support,95787.89
654,Support,95787.89
655,Support,95787.89
656,Support,95787.89
657,Support,95787.89
658,Support,95787.89
659,Support,95787.89
660,Support,95787.89
661,Support,95787.89
662,Support,95787.89
663,Support,95787.89
664,Support,95787.89
665,Support,95787.89
666,Support,95787.89
667,Support,95787.89
668,Support,95787.89
669,Support,95787.89
670,Support,95787.89
671,Support,95787.89
672,Support,95787.89
673,Support,95787.89
674,Support,95787.89
675,Support,95787.89
676,Support,95787.89
677,Support,95787.89
678,Support,95787.89
679,Support,95787.89
680,Support,95787.89
681,Support,95787.89
682,Support,95787.89
683,Support,95787.89
684,Support,95787.89
685,Support,95787.89
686,Support,95787.89
687,Support,95787.89
688,Support,95787.89
689,Support,95787.89
690,Support,95787.89
691,Support,95787.89
692,Support,95787.89
693,Support,95787.89
694,Support,95787.89
695,Support,95787.89
696,Support,95787.89
697,Support,95787.89
698,Support,95787.89
699,Support,95787.89
700,Support,95787.89
